"SalePrice","YearRemodAdd","GarageArea","GrLivArea","BsmtUnfSF","MoSold","OverallCond","HeatingQC","BsmtCond","GarageFinish","RoofMatl","ExterCond","RoofStyle"
144900,2003,490,1086,404,5,7,"Gd","TA","Unf","CompShg","TA","Gable"
107400,1950,379,1605,840,5,6,"Gd","TA","Unf","CompShg","Gd","Other"
135750,1956,283,952,724,4,7,"Ex","TA","Unf","CompShg","TA","Gable"
127000,2001,240,1285,295,1,5,"TA","TA","Unf","CompShg","TA","Gable"
110000,1981,440,1230,440,5,6,"Gd","TA","Unf","CompShg","TA","Gable"
193500,1968,509,2142,448,6,6,"TA","TA","Fin","CompShg","Gd","Gable"
153500,1998,405,1337,36,3,5,"Ex","Gd","Fin","CompShg","Gd","Hip"
245000,2007,758,1563,1530,10,5,"Ex","TA","RFn","CompShg","TA","Gable"
126500,1960,461,1065,1065,7,5,"Gd","TA","Unf","CompShg","TA","Gable"
260000,1992,462,2417,1288,4,5,"Ex","TA","Unf","CompShg","TA","Hip"
174000,2005,400,1560,684,3,5,"Ex","TA","Fin","CompShg","TA","Gable"
164500,2009,528,1224,612,6,5,"Ex","TA","RFn","CompShg","TA","Gable"
109900,1950,420,1040,0,7,5,"TA",.,"Unf","CompShg","TA","Gable"
98600,1961,480,1235,635,12,3,"TA","TA","Unf","CompShg","TA","Hip"
163500,2006,432,964,163,8,7,"Ex","TA","Unf","CompShg","Gd","Gable"
133900,1998,506,2291,168,11,6,"Ex","Other","Unf","CompShg","TA","Hip"
204750,1997,684,1786,176,5,5,"Ex","TA","RFn","CompShg","Gd","Gable"
214000,1999,472,1588,426,8,5,"Ex","TA","RFn","CompShg","TA","Gable"
94750,1965,432,960,440,5,5,"TA","TA","Fin","CompShg","TA","Hip"
83000,1950,366,835,350,5,5,"Other","TA","Unf","CompShg","TA","Gable"
178000,1985,476,1732,741,6,5,"TA","TA","Fin","CompShg","TA","Gable"
198900,2009,740,1226,1226,5,5,"Ex","TA","RFn","CompShg","TA","Gable"
169500,1950,240,1818,816,6,4,"Ex","TA","Unf","CompShg","Other","Gable"
1e+05,1995,273,1047,641,8,7,"Gd","TA","Unf","CompShg","TA","Other"
115000,1950,250,789,516,4,5,"Ex","TA","Unf","CompShg","TA","Gable"
190000,1977,546,1844,1139,1,6,"Ex","TA","RFn","CompShg","TA","Hip"
136900,1972,325,1855,550,10,4,"Gd","Other","Unf","CompShg","TA","Gable"
383970,2007,792,2696,280,10,5,"Ex","TA","Fin","CompShg","TA","Gable"
217000,1953,450,2259,905,10,5,"TA","TA","Unf","CompShg","Gd","Hip"
176000,1999,440,1458,310,6,5,"Gd","TA","Unf","CompShg","TA","Gable"
139000,1962,288,1092,252,9,5,"TA","TA","Unf","CompShg","TA","Gable"
163990,2006,390,1456,728,7,5,"Ex","TA","Fin","CompShg","TA","Gable"
180000,1969,540,988,0,10,5,"Ex","TA","Unf","Other","TA","Other"
1e+05,1950,264,1123,732,6,5,"Gd","TA","Unf","CompShg","TA","Gable"
136000,1958,288,1080,510,6,7,"Gd","TA","Unf","CompShg","Gd","Hip"
153900,1993,530,1199,899,3,5,"Ex","TA","RFn","CompShg","TA","Gable"
128000,1976,440,958,958,2,5,"TA","TA","RFn","CompShg","TA","Gable"
155000,1966,453,1348,148,7,5,"TA","TA","RFn","CompShg","TA","Gable"
150000,1991,750,1053,413,7,7,"TA","TA","RFn","CompShg","TA","Gable"
226000,1966,487,2157,479,5,6,"Ex","TA","Fin","CompShg","TA","Gable"
180000,1993,440,1721,891,7,6,"Gd","TA","RFn","CompShg","TA","Gable"
174000,1970,530,1682,1304,5,6,"Gd","TA","Unf","CompShg","TA","Hip"
143000,1967,318,1214,519,7,5,"TA","TA","RFn","CompShg","TA","Gable"
171000,1989,766,1959,1907,7,5,"Gd","TA","Unf","CompShg","TA","Gable"
230000,2000,660,1852,336,12,5,"Ex","TA","Fin","CompShg","TA","Gable"
260000,2005,660,1734,434,1,5,"Ex","TA","Fin","CompShg","TA","Gable"
166000,1952,720,1385,403,6,4,"Other","TA","Unf","CompShg","Other","Gable"
204000,1999,577,1501,811,6,5,"Ex","TA","RFn","CompShg","TA","Gable"
125000,1963,504,1728,396,11,5,"TA","TA","Unf","CompShg","TA","Gable"
130000,2006,380,1709,970,4,5,"Ex","TA","Unf","CompShg","TA","Gable"
105000,1993,180,875,506,11,7,"TA","TA","Unf","CompShg","TA","Gable"
222500,2001,434,2035,884,5,5,"Ex","TA","Fin","CompShg","TA","Gable"
190000,1971,495,1993,409,6,5,"Gd","TA","RFn","CompShg","TA","Gable"
235000,1975,564,1252,93,3,7,"Gd","TA","RFn","CompShg","TA","Other"
109500,1950,625,1040,0,6,7,"TA",.,"Unf","CompShg","TA","Hip"
254900,2005,678,1947,769,5,5,"Ex","TA","RFn","CompShg","TA","Gable"
320000,2006,576,2462,1335,3,5,"Ex","TA","RFn","CompShg","TA","Gable"
162500,1984,516,1232,572,6,6,"TA","TA","Unf","CompShg","TA","Gable"
152000,2004,216,1616,779,10,7,"Gd","TA","Unf","CompShg","Gd","Gable"
190000,1993,303,1867,470,11,5,"Ex","TA","Fin","CompShg","TA","Hip"
325624,2007,789,2161,294,11,5,"Ex","TA","Fin","CompShg","TA","Gable"
183500,2004,440,1720,840,5,5,"Ex","TA","Fin","CompShg","TA","Gable"
128500,1950,660,1382,360,5,6,"TA","TA","Unf","CompShg","TA","Gable"
215000,1960,528,1656,441,5,5,"Other","Gd","Fin","CompShg","TA","Hip"
239000,1987,504,1767,354,6,7,"Gd","Gd","RFn","CompShg","Gd","Gable"
184000,1986,616,1651,0,11,5,"TA","Other","Fin","CompShg","TA","Gable"
211000,1989,521,2060,320,9,5,"TA","TA","Unf","CompShg","TA","Gable"
172500,1958,451,1920,554,7,5,"Ex","TA","Unf","CompShg","Gd","Gable"
1e+05,2006,480,968,968,7,6,"TA","TA","Unf","CompShg","TA","Gable"
177000,2000,440,1525,320,6,5,"Ex","TA","Unf","CompShg","TA","Gable"
200100,1950,216,1802,441,7,6,"Gd","TA","Unf","CompShg","TA","Gable"
120000,2006,252,1340,0,6,6,"Ex",.,"RFn","CompShg","TA","Hip"
2e+05,2003,484,2082,1362,6,5,"Ex","TA","Unf","CompShg","TA","Gable"
127000,1991,576,1252,504,6,8,"Gd","TA","Unf","CompShg","TA","Gable"
475000,1993,840,3608,1107,6,9,"Ex","TA","Unf","Other","Gd","Gable"
173000,1991,497,1217,577,6,5,"Ex","TA","Unf","CompShg","TA","Gable"
135000,1987,180,1656,660,8,7,"Ex","TA","Unf","CompShg","TA","Gable"
286000,2002,682,1593,440,8,5,"Ex","TA","Fin","CompShg","TA","Gable"
315000,1994,440,2727,556,12,8,"TA","Gd","Unf","CompShg","TA","Hip"
127000,1972,352,864,474,5,7,"TA","TA","Unf","CompShg","TA","Hip"
148500,1976,440,1456,289,7,6,"TA","TA","Unf","CompShg","TA","Gable"
311872,2007,786,1726,600,9,5,"Ex","TA","Fin","CompShg","TA","Hip"
274900,2005,856,1713,625,1,5,"Ex","TA","Fin","CompShg","TA","Hip"
140000,2004,440,1121,1121,3,5,"Ex","TA","RFn","CompShg","TA","Gable"
171500,1977,473,1279,276,2,6,"TA","TA","Unf","CompShg","TA","Gable"
110000,1950,240,1284,408,4,7,"TA","TA","Unf","CompShg","TA","Gable"
180500,1990,500,1442,1424,5,5,"Ex","TA","RFn","CompShg","TA","Gable"
143900,1962,349,1696,1140,3,5,"TA","TA","RFn","CompShg","Gd","Gable"
141000,1960,312,1100,375,4,5,"TA","TA","RFn","CompShg","TA","Gable"
277000,1989,454,2062,92,4,5,"Ex","TA","Fin","CompShg","TA","Gable"
145000,1964,504,1092,305,7,7,"Ex","TA","RFn","CompShg","TA","Hip"
252678,2009,644,1852,78,7,5,"Ex","TA","RFn","CompShg","TA","Gable"
161750,1977,299,1392,311,3,7,"Ex","TA","Fin","CompShg","TA","Gable"
210000,2004,484,1436,490,4,5,"Ex","TA","Unf","CompShg","TA","Gable"
107000,1950,210,1328,686,9,4,"Other","TA","Unf","CompShg","TA","Gable"
311500,2006,431,1954,457,5,9,"Ex","TA","Unf","CompShg","Gd","Gable"
2e+05,2002,390,2267,1010,12,5,"Ex","TA","RFn","CompShg","TA","Gable"
179900,1975,434,1552,163,2,6,"TA","TA","RFn","CompShg","TA","Gable"
112000,1971,280,1302,630,5,5,"TA","TA","Unf","CompShg","TA","Gable"
290000,1995,721,2520,638,6,5,"Ex","TA","RFn","CompShg","TA","Gable"
106000,1970,280,987,162,9,6,"TA","TA","Unf","CompShg","TA","Gable"
192500,2006,430,1555,1357,5,5,"Ex","TA","Fin","CompShg","TA","Gable"
148000,1959,312,1194,1194,4,6,"TA","TA","RFn","CompShg","TA","Hip"
89500,1971,264,987,125,8,3,"TA","TA","Unf","CompShg","TA","Gable"
185500,2004,494,1414,1390,5,5,"Ex","TA","RFn","CompShg","TA","Gable"
194500,2003,457,1744,594,2,7,"Ex","TA","RFn","CompShg","TA","Gable"
120000,1980,288,1217,626,4,6,"TA","TA","RFn","CompShg","TA","Gable"
205000,2002,463,2110,253,5,5,"Ex","TA","RFn","CompShg","TA","Gable"
137000,1950,440,1928,1020,4,8,"Gd","TA","Unf","CompShg","Other","Gable"
140000,1954,451,1375,1367,6,5,"Ex","TA","Unf","CompShg","TA","Hip"
180000,2003,500,1668,840,9,5,"Ex","TA","RFn","CompShg","TA","Gable"
277000,2006,389,2144,747,6,7,"Gd","TA","Fin","CompShg","TA","Gable"
235000,2007,538,1625,0,12,5,"Ex","TA","Fin","CompShg","TA","Hip"
158000,1991,309,1302,452,10,7,"Ex","TA","RFn","CompShg","TA","Hip"
145000,1957,294,1314,392,6,6,"TA","TA","RFn","CompShg","Gd","Gable"
207500,2003,673,1728,361,5,5,"Ex","TA","RFn","CompShg","TA","Gable"
220000,2006,660,1604,270,3,5,"Ex","TA","RFn","CompShg","TA","Gable"
176000,1962,884,1382,0,5,5,"TA","TA","Unf","CompShg","TA","Gable"
151000,1995,492,1212,0,7,7,"TA","Gd","Unf","CompShg","TA","Gable"
185000,1997,413,1511,88,6,5,"Gd","TA","Fin","CompShg","TA","Gable"
148000,1976,504,1113,392,5,7,"TA","Gd","RFn","CompShg","Gd","Hip"
266000,2006,1053,1939,1095,8,5,"Gd","TA","RFn","CompShg","TA","Gable"
241500,2005,439,1363,96,4,7,"Ex","TA","Unf","Other","TA","Other"
290000,2007,671,2270,628,4,7,"Ex","TA","Fin","CompShg","TA","Gable"
139000,1988,338,1632,0,4,6,"Gd","TA","RFn","CompShg","TA","Hip"
205000,2007,672,1548,952,10,7,"Gd","TA","Unf","CompShg","Gd","Gable"
201000,2003,573,1560,1560,4,5,"Ex","TA","Fin","CompShg","TA","Gable"
141000,1951,400,864,744,6,5,"Ex","TA","Unf","CompShg","TA","Gable"
415298,2007,732,2121,2121,5,5,"Ex","TA","Fin","CompShg","TA","Gable"
185000,2006,572,1262,357,5,5,"Gd","TA","Fin","CompShg","TA","Gable"
207500,2008,626,1314,410,4,5,"Ex","TA","RFn","CompShg","TA","Gable"
244600,2009,898,1468,1468,12,5,"Ex","TA","Fin","CompShg","TA","Gable"
179200,1992,529,1575,1145,7,5,"Gd","TA","RFn","CompShg","TA","Gable"
164700,2007,528,1250,625,6,5,"Ex","TA","RFn","CompShg","TA","Gable"
122000,1967,280,900,432,2,5,"TA","TA","Unf","CompShg","Gd","Gable"
153575,2003,384,1396,698,7,7,"Ex","TA","Unf","CompShg","TA","Gable"
233230,2006,685,1919,1079,7,5,"Ex","TA","RFn","CompShg","TA","Gable"
131000,2008,281,1716,476,1,4,"Gd","TA","Unf","CompShg","TA","Gable"
235000,1994,539,2263,0,3,7,"Other","TA","Fin","CompShg","TA","Gable"
167000,1953,418,1644,131,10,5,"TA","TA","Fin","CompShg","TA","Hip"
152000,1950,282,1558,490,6,5,"TA","TA","Unf","CompShg","TA","Gable"
175000,1968,539,1743,143,6,6,"Gd","TA","Unf","CompShg","TA","Other"
267000,1999,683,2452,747,5,5,"Ex","TA","Fin","CompShg","TA","Gable"
205000,2002,843,1541,1541,1,5,"Ex","TA","RFn","CompShg","TA","Gable"
149900,1972,552,894,0,7,7,"TA","TA","Unf","CompShg","TA","Gable"
295000,2002,870,3493,1470,5,9,"Ex","TA","Unf","CompShg","TA","Gable"
225000,1991,746,2243,0,6,5,"Gd","TA","RFn","CompShg","TA","Gable"
82500,1950,539,861,599,3,5,"Ex","TA","Unf","CompShg","TA","Gable"
360000,2004,708,1944,622,11,5,"Ex","TA","Fin","CompShg","TA","Gable"
375000,1965,513,2036,80,6,5,"TA","TA","RFn","CompShg","TA","Hip"
188500,2005,432,1432,291,7,5,"Ex","TA","Fin","CompShg","TA","Gable"
270000,2006,1025,1959,1088,12,5,"Ex","TA","RFn","CompShg","TA","Gable"
260000,1993,656,2646,360,4,5,"Ex","TA","RFn","CompShg","TA","Gable"
187500,1980,588,1472,336,6,5,"TA","TA","Unf","CompShg","TA","Gable"
342643,2006,840,2596,1249,9,5,"Ex","Gd","RFn","CompShg","TA","Gable"
354000,2004,872,2468,166,6,5,"Ex","TA","Fin","CompShg","TA","Gable"
301000,1987,576,2730,0,8,5,"Ex","TA","Fin","CompShg","TA","Gable"
126175,2005,220,1163,906,7,8,"Ex","TA","Unf","CompShg","Gd","Gable"
324000,1993,473,1719,100,5,5,"Ex","TA","Fin","CompShg","TA","Gable"
214500,1994,441,2134,844,7,6,"Gd","TA","Unf","CompShg","TA","Gable"
78000,1950,189,1192,596,7,5,"TA","TA","Unf","CompShg","TA","Gable"
119000,1964,352,1728,1424,11,4,"TA","TA","Unf","CompShg","TA","Gable"
139000,1992,308,1056,210,8,6,"Other","TA","RFn","CompShg","TA","Gable"
207000,2004,484,1358,638,7,5,"Ex","TA","RFn","CompShg","TA","Gable"
192000,1998,472,1638,115,7,5,"Gd","TA","Fin","CompShg","TA","Gable"
228950,1965,529,1786,103,8,6,"Ex","TA","Fin","CompShg","TA","Gable"
377426,2006,676,1922,673,7,5,"Ex","TA","Fin","CompShg","TA","Hip"
214000,2003,532,1536,726,12,5,"Ex","TA","RFn","CompShg","TA","Gable"
202500,1998,440,1621,995,5,7,"Ex","TA","RFn","CompShg","TA","Gable"
155000,1998,297,1215,630,6,7,"TA","Other","Unf","CompShg","TA","Hip"
202900,2002,431,1908,967,4,5,"Ex","TA","Fin","CompShg","TA","Gable"
82000,1950,294,841,721,9,4,"Gd","Other","Unf","CompShg","Other","Gable"
266000,2005,564,1684,1656,7,5,"Ex","TA","RFn","CompShg","TA","Hip"
85000,1976,336,1112,175,4,3,"TA","TA","Unf","CompShg","TA","Gable"
151500,1998,301,958,460,4,8,"TA","TA","RFn","CompShg","Gd","Hip"
157500,1960,498,1478,208,12,5,"Ex","TA","Unf","CompShg","TA","Gable"
154000,2004,474,1626,191,10,5,"Ex","TA","RFn","CompShg","TA","Gable"
437154,2006,706,2728,438,4,5,"Ex","TA","Fin","CompShg","TA","Hip"
318061,2007,617,1869,1869,12,5,"Ex","TA","RFn","CompShg","TA","Hip"
190000,1986,445,1453,371,12,5,"Gd","TA","RFn","CompShg","TA","Gable"
95000,1950,200,1111,0,3,6,"TA","Other","Unf","CompShg","TA","Gable"
105900,2003,484,720,624,5,8,"Gd","TA","Unf","CompShg","Gd","Gable"
140000,2000,240,1595,552,6,5,"Ex","TA","Unf","CompShg","TA","Gable"
177500,1995,521,1200,322,8,5,"Ex","Gd","RFn","CompShg","Gd","Gable"
173000,1992,400,1167,598,7,6,"Gd","TA","RFn","CompShg","TA","Gable"
130000,1958,288,1352,468,7,4,"Ex","TA","Unf","CompShg","TA","Hip"
280000,1998,592,1924,130,6,5,"Ex","TA","RFn","CompShg","TA","Gable"
156000,1978,470,912,115,6,6,"Ex","TA","RFn","CompShg","TA","Gable"
118000,2007,264,987,321,5,8,"Gd","TA","Unf","CompShg","TA","Gable"
159000,1963,514,1394,785,7,5,"Gd","TA","RFn","CompShg","TA","Gable"
132000,1954,244,1268,728,3,6,"Gd","TA","Fin","CompShg","TA","Gable"
172400,2000,460,1664,953,1,5,"Ex","TA","RFn","CompShg","TA","Gable"
134432,1959,680,1588,0,7,4,"TA",.,"Fin","CompShg","TA","Gable"
125000,1984,264,752,0,2,5,"TA","TA","Unf","CompShg","TA","Gable"
123000,1953,270,1319,0,11,6,"TA","TA","Unf","CompShg","TA","Gable"
219500,2004,434,1928,847,7,5,"Ex","TA","Fin","CompShg","TA","Gable"
340000,2005,610,2466,1580,12,5,"Ex","TA","RFn","CompShg","TA","Gable"
179000,2000,463,1800,982,6,5,"Ex","TA","Fin","CompShg","TA","Gable"
127000,1950,308,1691,808,5,6,"TA","TA","Unf","CompShg","TA","Gable"
187750,2006,572,1301,1293,8,5,"Ex","Gd","RFn","CompShg","TA","Gable"
213500,2006,639,1797,939,4,5,"Ex","TA","RFn","CompShg","TA","Gable"
76000,1950,360,784,784,10,3,"TA","Other","Unf","CompShg","TA","Gable"
240000,1992,501,1953,595,6,5,"Ex","TA","Fin","CompShg","TA","Gable"
192000,2005,430,1269,1232,4,5,"Ex","TA","Fin","CompShg","TA","Gable"
125000,1976,352,1125,410,10,6,"Ex","TA","Unf","CompShg","TA","Hip"
191000,2000,577,1479,1468,7,5,"Ex","TA","RFn","CompShg","TA","Gable"
426000,2008,846,2332,402,8,5,"Ex","TA","Fin","CompShg","TA","Gable"
119000,1950,384,1367,229,4,8,"Ex","Gd","Unf","CompShg","TA","Gable"
215000,2002,560,1961,114,6,5,"Ex","TA","Fin","CompShg","TA","Gable"
106500,1959,294,882,0,7,7,"TA",.,"RFn","CompShg","TA","Gable"
109000,1950,240,1034,735,7,6,"Gd","TA","Unf","CompShg","TA","Gable"
123000,1972,600,894,117,9,5,"TA","TA","RFn","CompShg","TA","Hip"
67000,1950,338,1077,961,11,2,"Gd","Other","Unf","CompShg","Other","Gable"
241000,2007,438,1550,280,10,5,"Ex","TA","Fin","CompShg","TA","Gable"
245500,1996,500,1288,474,12,5,"Ex","TA","Fin","CompShg","TA","Gable"
108000,1997,240,672,672,8,8,"Ex","TA","Unf","CompShg","TA","Gable"
258000,1998,420,2263,1141,7,5,"Gd","TA","Fin","CompShg","TA","Hip"
168000,1996,373,1572,806,5,5,"Gd","TA","Fin","CompShg","TA","Gable"
150000,1993,490,1620,165,6,4,"Ex","TA","Unf","CompShg","TA","Gable"
115000,1950,240,1639,1064,3,5,"Ex","TA","Unf","CompShg","TA","Gable"
177000,1976,308,1680,840,3,7,"Ex","TA","Unf","CompShg","TA","Gable"
280000,2006,947,2172,1063,8,5,"Ex","Gd","RFn","CompShg","TA","Gable"
339750,2008,836,2078,245,4,5,"Ex","TA","Fin","CompShg","TA","Gable"
60000,1958,350,1276,1276,6,3,"TA","Other","Unf","CompShg","Other","Gable"
145000,1955,572,1056,0,1,5,"TA","TA","Fin","CompShg","TA","Hip"
222000,2009,484,1478,892,6,5,"Ex","TA","Fin","CompShg","TA","Gable"
115000,1950,360,1028,1008,3,6,"Gd","TA","Unf","CompShg","TA","Gable"
228000,1993,678,2097,499,12,5,"Ex","TA","Unf","CompShg","TA","Gable"
181134,2007,396,1340,1316,8,5,"Ex","TA","Fin","CompShg","TA","Gable"
149500,1978,440,1400,463,3,7,"TA","TA","Fin","CompShg","TA","Hip"
126000,1950,240,1134,444,4,6,"Other","TA","Unf","CompShg","TA","Gable"
142000,1968,304,1056,281,7,6,"Ex","TA","Unf","CompShg","TA","Gable"
215000,2000,529,1602,356,6,7,"Gd","TA","Fin","CompShg","TA","Gable"
113000,1954,520,988,988,2,5,"Ex","TA","RFn","CompShg","TA","Hip"
315000,1998,696,2630,484,6,5,"Gd","TA","Fin","CompShg","TA","Gable"
139000,1956,297,1196,580,5,5,"Gd","TA","RFn","CompShg","TA","Gable"
275000,1989,569,1644,0,8,5,"Gd","TA","Fin","CompShg","TA","Gable"
109008,1957,352,907,619,7,6,"Ex","TA","Unf","CompShg","TA","Hip"
175000,1988,576,1412,387,3,5,"TA","TA","Unf","CompShg","TA","Gable"
85400,1971,264,987,96,7,5,"TA","TA","Unf","CompShg","TA","Gable"
181000,1998,470,1604,926,7,5,"Ex","TA","Fin","CompShg","TA","Gable"
212000,1996,550,1661,70,4,6,"Ex","TA","RFn","CompShg","TA","Gable"
116000,1950,440,1118,648,10,8,"TA","TA","Unf","CompShg","TA","Gable"
119000,2004,180,904,884,1,7,"Gd","TA","Unf","CompShg","TA","Gable"
110000,2000,528,1196,684,8,8,"Gd","Other","Unf","CompShg","TA","Gable"
555000,2008,672,2402,788,4,5,"Ex","TA","Fin","CompShg","TA","Hip"
162900,1992,360,1573,1078,6,7,"TA","TA","Unf","CompShg","TA","Gable"
172500,2007,648,1258,1258,6,5,"Ex","TA","Fin","CompShg","TA","Gable"
127500,1956,480,1689,1436,11,5,"Other","TA","Unf","CompShg","TA","Hip"
190000,2002,578,1888,557,6,6,"Ex","TA","Fin","CompShg","TA","Gable"
119500,1950,198,1376,780,6,6,"TA","TA","Unf","CompShg","TA","Gable"
120000,2002,308,1183,318,6,7,"Ex","TA","Unf","CompShg","Gd","Gable"
110000,2005,270,813,813,6,8,"Ex","TA","Unf","CompShg","TA","Hip"
280000,1975,576,1533,878,12,5,"TA","TA","Unf","Other","TA","Gable"
204000,1997,422,1756,130,7,5,"Ex","TA","Fin","CompShg","TA","Hip"
210000,2008,676,1590,768,6,5,"Ex","TA","RFn","CompShg","TA","Gable"
188000,1976,560,1728,122,7,5,"TA","TA","Unf","CompShg","TA","Gable"
98000,1950,513,1344,624,5,5,"Other","TA","Unf","CompShg","TA","Gable"
256000,1994,529,1663,248,3,6,"Ex","TA","Fin","Other","TA","Other"
110000,1950,352,1203,524,7,4,"TA","TA","Unf","CompShg","TA","Gable"
263435,2009,552,1935,288,12,5,"Ex","TA","Fin","CompShg","TA","Gable"
155000,2007,576,1135,0,4,9,"Ex","Gd","RFn","CompShg","Gd","Gable"
167000,1970,526,1277,499,4,5,"TA","Gd","Unf","Other","Gd","Other"
146500,1995,312,1644,342,6,7,"Ex","TA","Unf","CompShg","TA","Gable"
250000,2006,866,1634,1626,5,5,"Ex","TA","RFn","CompShg","TA","Gable"
148000,2005,525,1072,88,6,5,"Ex","TA","RFn","CompShg","TA","Gable"
440000,2007,908,1976,626,7,5,"Ex","TA","RFn","CompShg","TA","Gable"
251000,2000,499,1652,298,8,5,"Ex","TA","RFn","CompShg","TA","Gable"
132500,1963,624,970,340,7,6,"TA","TA","Unf","CompShg","TA","Hip"
380000,2006,694,2643,2153,3,5,"Ex","TA","Fin","CompShg","TA","Hip"
89471,2000,672,1131,739,3,7,"TA","TA","Unf","CompShg","TA","Hip"
155000,2005,164,1826,611,6,8,"Ex","TA","Unf","CompShg","TA","Gable"
164000,1998,402,1216,319,5,5,"Ex","TA","Unf","CompShg","TA","Hip"
132500,2001,264,999,411,3,7,"Gd","TA","Unf","CompShg","Gd","Gable"
156000,1965,515,1073,237,6,7,"TA","TA","RFn","CompShg","TA","Hip"
175000,1971,487,1484,486,2,6,"Gd","TA","Unf","CompShg","TA","Gable"
160000,1970,520,2414,290,5,4,"TA","Other","Unf","CompShg","Other","Gable"
86000,2002,286,630,115,5,8,"TA","TA","Unf","CompShg","Gd","Gable"
115000,1976,336,1304,264,6,6,"TA","TA","Fin","CompShg","TA","Gable"
172785,2006,429,1456,728,5,5,"Gd","TA","RFn","CompShg","TA","Gable"
155000,1960,308,1269,363,6,6,"TA","TA","Unf","CompShg","TA","Gable"
91300,1996,273,886,190,12,8,"Gd","TA","Unf","CompShg","TA","Gable"
430000,1993,546,3228,1969,5,5,"Ex","TA","RFn","CompShg","TA","Hip"
184000,1950,240,1820,697,6,6,"Ex","TA","Unf","CompShg","Gd","Gable"
130000,2004,288,899,414,6,7,"Ex","TA","Fin","CompShg","TA","Hip"
120000,1985,297,912,522,6,7,"Other","TA","Fin","CompShg","TA","Gable"
